"f653120","Jonathan Grimes","Wed, 9 Mar 2016 23:27:52 -0600","Added Files for Deliv",	 3 files changed, 0 insertions(+), 0 deletions(-)	
"92e4053","Nathan Blattman","Wed, 9 Mar 2016 23:25:41 -0600","allow pieces in rows 1 and 8 to move",	 2 files changed, 3 insertions(+), 2 deletions(-)	
"7caa424","Nathan Blattman","Wed, 9 Mar 2016 22:50:49 -0600","saves intial board",	 1 file changed, 3 insertions(+), 2 deletions(-)	
"b8c8130","Ryan Walters","Wed, 9 Mar 2016 22:40:31 -0600","fixed row calc on black piece valid_move",	 2 files changed, 7 insertions(+), 7 deletions(-)	
"dc6d023","Ryan Walters","Wed, 9 Mar 2016 21:55:57 -0600","fixing undo for HH game type",	 1 file changed, 2 insertions(+), 6 deletions(-)	
"0ccfbe0","Ryan Walters","Wed, 9 Mar 2016 21:54:14 -0600","fixing undo issue",	 2 files changed, 10 insertions(+), 29 deletions(-)	
"5d8d30e","Ryan Walters","Wed, 9 Mar 2016 21:48:31 -0600","shouldnt delete[] ai",	 1 file changed, 1 insertion(+), 1 deletion(-)	
"8ea6354","Ryan Walters","Wed, 9 Mar 2016 21:47:23 -0600","by default, set display to false for AI related stuff",	 1 file changed, 1 insertion(+)	
"470e385","Ryan Walters","Wed, 9 Mar 2016 21:45:59 -0600","checking display",	 1 file changed, 3 insertions(+)	
"e4113f2","Ryan Walters","Wed, 9 Mar 2016 21:39:02 -0600","added burndown for sprint 1",	 3 files changed, 5 insertions(+)	
"1f45a42","Ryan Walters","Wed, 9 Mar 2016 21:38:12 -0600","init AI when game starts",	 1 file changed, 1 insertion(+)	
"a672948","Ryan Walters","Wed, 9 Mar 2016 21:35:06 -0600","uncommented debug output for display",	 1 file changed, 2 insertions(+), 1 deletion(-)	
"4e90e8e","Ryan Walters","Wed, 9 Mar 2016 21:33:30 -0600","testing undo message length",	 1 file changed, 1 insertion(+), 1 deletion(-)	
"983b4fa","Jonathan Grimes","Wed, 9 Mar 2016 21:13:08 -0600","Added log and Removed extra files",	 4 files changed, 104 insertions(+), 438 deletions(-)	
"411d0ed","Ryan Walters","Wed, 9 Mar 2016 21:12:17 -0600","fixed S in c_str()",	 1 file changed, 1 insertion(+), 1 deletion(-)	
"7db1440","Ryan Walters","Wed, 9 Mar 2016 21:10:23 -0600","Update README.md",	 1 file changed, 1 insertion(+), 1 deletion(-)	
"6a05dee","Ryan Walters","Wed, 9 Mar 2016 21:08:17 -0600","fixed display of winner message. added message to output file",	 3 files changed, 6 insertions(+), 5 deletions(-)	
"354d5b2","Victor Vazquez","Wed, 9 Mar 2016 21:07:57 -0600","update",	 1 file changed, 1 insertion(+), 1 deletion(-)	
"2feca62","Ryan Walters","Wed, 9 Mar 2016 20:59:46 -0600","tell server to end session when game is over",	 2 files changed, 75 insertions(+), 58 deletions(-)	
"180d4e2","Jonathan Grimes","Wed, 9 Mar 2016 20:52:17 -0600","Update .gitignore",	 1 file changed, 1 deletion(-)	
"38ae748","Ryan Walters","Wed, 9 Mar 2016 20:51:32 -0600","ignore the output file",	 1 file changed, 34 deletions(-)	
"b294657","Jonathan Grimes","Wed, 9 Mar 2016 20:51:30 -0600","Update .gitignore",	 1 file changed, 1 insertion(+)	
"d11cc16","Ryan Walters","Wed, 9 Mar 2016 20:50:49 -0600","ignore output.txt",	 1 file changed, 2 deletions(-)	
"926bdac","Jonathan Grimes","Wed, 9 Mar 2016 20:50:47 -0600","Update Output.txt",	 1 file changed, 5 deletions(-)	
"71e5758","Victor Vazquez","Wed, 9 Mar 2016 20:49:34 -0600","update on termination",	 3 files changed, 16 insertions(+), 32 deletions(-)	
"dcf8d49","Jonathan Grimes","Wed, 9 Mar 2016 20:42:40 -0600","Corrected layout of Output.txt",	 1 file changed, 7 deletions(-)	
"a80bbbf","Victor Vazquez","Wed, 9 Mar 2016 20:39:29 -0600","update on termination check",	 2 files changed, 26 insertions(+), 31 deletions(-)	
"459088d","Jonathan Grimes","Wed, 9 Mar 2016 20:38:16 -0600","Format of Output",	 1 file changed, 2 insertions(+), 2 deletions(-)	
"5515907","Victor Vazquez","Wed, 9 Mar 2016 20:32:24 -0600","test",	 1 file changed, 29 insertions(+), 2 deletions(-)	
"d9f39f4","Ryan Walters","Wed, 9 Mar 2016 20:30:29 -0600","fixed valid_move logic",	 4 files changed, 59 insertions(+), 51 deletions(-)	
